0.2,35.24,19.14
0.4,17.22,16.42
0.6,12.1,27.02
0.8,9.8,23.7
1,8.52,22.08
1.2,0.04,4.86
1.2,7.74,21.18
1.4,0.14,4.7
1.4,7.22,20.72
1.6,0.2,4.62
1.6,6.86,20.52
1.8,0.28,4.86
1.8,6.58,20.2
2,0.34,5.08
2,6.4,20.16
